DateTimeStamp,0-100-100RAH,0-100-100RFSpd,0-100-100SFSpd,0-50-5W_C_DuctPressure,2-100-100CHWValve,2-100-100EAD,2-100-100OAD,2-100-100RAD,2-10100-0HWCValve,CurrentDASP,DACFMUnfiltered,DAFlowCFMFiltered,DARSCalcdSP,DischAirFlowFPM,EF-6Status,GeneralEFCFMTotal,MAT,OAFlowCFM,OAFlowFPM,RACFMUnfiltered,RAFlowCFMFiltered,RAFlowFPM,RAT,RTU-4DAT,TE-1Status,TE-2Status,TE-3Status,OAD,oamindamper,chwvalve,hwvalve,ductpressstp,occ
10/11/2017 9:30:00 PM,1.384713,0,0,0.01969231,20,0,20,0,20,68,42.31303,2509.017,68,10.74993,0,700,94.7,17.1893,3.125327,0,0,0,70.5,72.2,1,1,0,0,0,0,0,1.2500,0
10/11/2017 9:40:00 PM,1.484738,0,0,0.009846154,20,0,20,0,20,68,57.20531,2509.017,68,14.75002,0,700,94,0.006726275,0.001222959,0,0,0,70.2,72,1,1,0,0,0,0,0,1.2500,0
10/11/2017 9:50:00 PM,1.484738,0,0,0.01969231,20,0,20,0,20,68,53.92927,2509.017,68,14.03846,0,700,93.1,31.21808,6.50924,0,0,0,70.3,72,1,1,0,0,0,0,0,1.2500,0
10/11/2017 10:00:00 PM,1.484738,0,0,0.01969231,20,0,20,0,20,68,55.3298,2509.017,68,14.2786,0,700,91.9,4.104366,0.7462484,0,0,0,70.6,72,1,1,0,0,0,0,0,1.2500,0
10/11/2017 10:10:00 PM,1.384713,0,0,0.01969231,20,0,20,0,20,68,43.14332,2509.017,68,10.68884,0,700,94.5,29.88332,5.433331,0,0,0,70.7,72,1,1,0,0,0,0,0,1.2500,0
10/11/2017 10:20:00 PM,1.384713,0,0,0.01969231,20,0,20,0,20,68,55.26211,2509.017,68,14.39307,0,700,93.7,15.98599,2.815715,0,0,0,70.9,71.9,1,1,0,0,0,0,0,1.2500,0
10/11/2017 10:30:00 PM,1.284689,0,0,0.009846154,20,0,20,0,20,68,69.99785,2509.017,68,18.45117,0,700,92.9,5.020776E-07,8.843412E-08,0,0,0,70.8,71.8,1,1,0,0,0,0,0,1.2500,0
10/11/2017 10:40:00 PM,1.284689,0,0,0.01969231,20,0,20,0,20,68,43.45087,2509.017,68,11.15641,0,700,91.9,0.08679537,0.01528782,0,0,0,70.8,71.8,1,1,0,0,0,0,0,1.2500,0
10/11/2017 10:50:00 PM,1.284689,0,0,0.009846154,20,0,20,0,20,68,63.26549,2509.017,68,16.21583,0,700,94.2,7.46215,1.356755,0,0,0,70.8,71.8,1,1,0,0,0,0,0,1.2500,0
10/11/2017 11:00:00 PM,1.284689,0,0,0.01969231,20,0,20,0,20,68,46.34515,2509.017,68,12.3707,0,700,93.6,0.6754843,0.1015133,0,0,0,70.9,71.7,1,1,0,0,0,0,0,1.2500,0
10/11/2017 11:10:00 PM,1.18779,0,0,0.01969231,20,0,20,0,20,68,50.44217,2509.017,68,12.80649,0,700,93,86.76664,15.89814,0,0,0,70.6,71.7,1,1,0,0,0,0,0,1.2500,0
10/11/2017 11:20:00 PM,1.284689,0,0,0.01969231,20,0,20,0,20,68,55.71203,2509.017,68,14.37404,0,700,92.4,2.180904,0.396528,0,0,0,70.5,71.6,1,1,0,0,0,0,0,1.2500,0
10/11/2017 11:30:00 PM,1.384713,0,0,0.01969231,20,0,20,0,20,68,57.55622,2509.017,68,14.80185,0,700,94,0.7897933,0.1391113,0,0,0,70.3,71.6,1,1,0,0,0,0,0,1.2500,0
10/11/2017 11:40:00 PM,1.484738,0,0,0.01969231,20,0,20,0,20,68,66.83875,2509.017,68,17.30354,0,700,94.4,72.08811,13.10693,0,0,0,70.1,71.5,1,1,0,0,0,0,0,1.2500,0
10/11/2017 11:50:00 PM,1.584762,0,0,0.01969231,20,0,20,0,20,68,60.08366,2509.017,68,15.39181,0,700,93.8,2.367462E-13,4.169961E-14,0,0,0,70,71.5,1,1,0,0,0,0,0,1.2500,0
10/12/2017 12:00:00 AM,1.584762,0,0,0.01969231,20,0,20,0,20,68,53.84184,2509.017,68,13.75081,0,700,92.7,0.002699098,0.0004754092,0,0,0,70,71.5,1,1,0,0,0,0,0,1.2500,0
10/12/2017 12:10:00 AM,1.484738,0,0,0.01969231,20,0,20,0,20,68,38.18418,2509.017,68,9.802362,0,700,93.1,0.5423494,0.09552746,0,0,0,69.8,71.4,1,1,0,0,0,0,0,1.2500,0
10/12/2017 12:20:00 AM,1.681661,0,0,0.01969231,20,0,20,0,20,68,42.43084,2509.017,68,10.90173,0,700,94.8,4.197258,0.6721246,0,0,0,69.6,71.3,1,1,0,0,0,0,0,1.2500,0
10/12/2017 12:30:00 AM,1.681661,0,0,0.01969231,20,0,20,0,20,68,63.80686,2509.017,68,16.54654,0,700,94,0.0475816,0.0086512,0,0,0,69.7,71.3,1,1,0,0,0,0,0,1.2500,0
10/12/2017 12:40:00 AM,1.681661,0,0,0.009846154,20,0,20,0,20,68,45.56369,2509.017,68,11.6265,0,700,93.3,1.451216E-06,2.556119E-07,0,0,0,69.5,71.1,1,1,0,0,0,0,0,1.2500,0
10/12/2017 12:50:00 AM,1.781685,0,0,0.01969231,20,0,20,0,20,68,60.79023,2509.017,68,15.61712,0,700,92.2,4.608466E-06,6.925706E-07,0,0,0,69.6,71.2,1,1,0,0,0,0,0,1.2500,0
10/12/2017 1:00:00 AM,1.781685,0,0,0.01969231,20,0,20,0,20,68,57.33684,2509.017,68,14.77972,0,700,95,6.63788,1.169172,0,0,0,69.2,71.1,1,1,0,0,0,0,0,1.2500,0
10/12/2017 1:10:00 AM,1.88171,0,0,0.01969231,20,0,20,0,20,68,59.49388,2509.017,68,15.31828,0,700,94.5,5.865063E-06,1.033051E-06,0,0,0,69.2,71.1,1,1,0,0,0,0,0,1.2500,0
10/12/2017 1:20:00 AM,1.781685,0,0,0.01969231,20,0,20,0,20,68,55.6928,2509.017,68,14.36924,0,700,93.8,0,0,0,0,0,69.2,71.1,1,1,0,0,0,0,0,1.2500,0
10/12/2017 1:30:00 AM,1.88171,0,0,0.01969231,20,0,20,0,20,68,53.04131,2509.017,68,12.90834,0,700,92.7,0.2754349,0.05169453,0,0,0,69.3,71,1,1,0,0,0,0,0,1.2500,0
10/12/2017 1:40:00 AM,1.88171,0,0,0.01969231,20,0,20,0,20,68,38.31988,2509.017,68,9.872664,0,700,94.8,1.536906E-28,2.70705E-29,0,0,0,69.3,70.9,1,1,0,0,0,0,0,1.2500,0
10/12/2017 1:50:00 AM,1.978608,0,0,0.01969231,20,0,20,0,20,68,43.32141,2509.017,68,11.12409,0,700,94.7,9.721593E-08,1.712326E-08,0,0,0,69.2,70.9,1,1,0,0,0,0,0,1.2500,0
10/12/2017 2:00:00 AM,1.978608,0,0,0.01969231,20,0,20,0,20,68,42.30997,2509.017,68,10.56929,0,700,93.9,4.191255,0.7620463,0,0,0,69.2,70.9,1,1,0,0,0,0,0,1.2500,0
10/12/2017 2:10:00 AM,1.88171,0,0,0.01969231,20,0,20,0,20,68,40.92172,2509.017,68,10.52494,0,700,92.9,2.352432E-06,4.143488E-07,0,0,0,69.4,70.9,1,1,0,0,0,0,0,1.2500,0
10/12/2017 2:20:00 AM,1.978608,0,0,0.01969231,20,0,20,0,20,68,57.54691,2509.017,68,14.83664,0,700,94.1,1.551201E-37,2.732228E-38,0,0,0,69.2,70.9,1,1,0,0,0,0,0,1.2500,0
